_id,type,model
ObjectId(6284be12d4851a5591985432),smart phone,platina
ObjectId(6284be12d4851a5591985433),smart phone,bn20
ObjectId(6284be12d4851a5591985434),smart phone,xm23
ObjectId(6284be12d4851a5591985435),smart phone,c3
ObjectId(6284be12d4851a5591985436),smart phone,platina
ObjectId(6284be12d4851a5591985437),smart phone,pk2
ObjectId(6284be12d4851a5591985438),smart phone,cz
ObjectId(6284be12d4851a5591985439),smart phone,xm23
ObjectId(6284be12d4851a559198543a),smart phone,k9
ObjectId(6284be12d4851a559198543b),smart phone,k9
ObjectId(6284be12d4851a559198543c),smart phone,platina
ObjectId(6284be12d4851a559198543d),smart phone,c12
ObjectId(6284be12d4851a559198543e),smart phone,bn20
ObjectId(6284be12d4851a559198543f),smart phone,xm23
ObjectId(6284be12d4851a5591985440),smart phone,c3
ObjectId(6284be12d4851a5591985441),smart phone,pk2
ObjectId(6284be12d4851a5591985442),smart phone,bn20
ObjectId(6284be12d4851a5591985443),smart phone,c3
ObjectId(6284be12d4851a5591985444),laptop,jl3
ObjectId(6284be12d4851a5591985445),laptop,ki2
ObjectId(6284be12d4851a5591985446),laptop,zeta
ObjectId(6284be12d4851a5591985447),laptop,k12
ObjectId(6284be12d4851a5591985448),laptop,jl3
ObjectId(6284be12d4851a5591985449),laptop,j3
ObjectId(6284be12d4851a559198544a),laptop,ay9
ObjectId(6284be12d4851a559198544b),laptop,qw2
ObjectId(6284be12d4851a559198544c),laptop,ki2
ObjectId(6284be12d4851a559198544d),laptop,ki2
ObjectId(6284be12d4851a559198544e),laptop,ki2
ObjectId(6284be12d4851a559198544f),laptop,kz
ObjectId(6284be12d4851a5591985450),laptop,ki2
ObjectId(6284be12d4851a5591985451),laptop,kz
ObjectId(6284be12d4851a5591985452),laptop,c6
ObjectId(6284be12d4851a5591985453),laptop,ay9
ObjectId(6284be12d4851a5591985454),laptop,jl3
ObjectId(6284be12d4851a5591985455),smart phone,cz
ObjectId(6284be12d4851a5591985456),laptop,j3
ObjectId(6284be12d4851a5591985457),laptop,ay9
ObjectId(6284be12d4851a5591985458),laptop,qw2
ObjectId(6284be12d4851a5591985459),smart phone,cz
ObjectId(6284be12d4851a559198545a),smart phone,pk2
ObjectId(6284be12d4851a559198545b),smart phone,k9
ObjectId(6284be12d4851a559198545c),laptop,qw2
ObjectId(6284be12d4851a559198545d),smart phone,c12
ObjectId(6284be12d4851a559198545e),smart phone,c12
ObjectId(6284be12d4851a559198545f),laptop,ay9
ObjectId(6284be12d4851a5591985460),laptop,c6
ObjectId(6284be12d4851a5591985461),laptop,qw2
ObjectId(6284be12d4851a5591985462),laptop,c6
ObjectId(6284be12d4851a5591985463),laptop,qw2
ObjectId(6284be12d4851a5591985464),laptop,jl3
ObjectId(6284be12d4851a5591985465),laptop,k12
ObjectId(6284be12d4851a5591985466),laptop,qw2
ObjectId(6284be12d4851a5591985467),laptop,k12
ObjectId(6284be12d4851a5591985468),laptop,c6
ObjectId(6284be12d4851a5591985469),laptop,k12
ObjectId(6284be12d4851a559198546a),laptop,k12
ObjectId(6284be12d4851a559198546b),laptop,zeta
ObjectId(6284be12d4851a559198546c),laptop,qw2
ObjectId(6284be12d4851a559198546d),laptop,k12
ObjectId(6284be12d4851a559198546e),laptop,qw2
ObjectId(6284be12d4851a559198546f),laptop,k12
ObjectId(6284be12d4851a5591985470),laptop,ay9
ObjectId(6284be12d4851a5591985471),laptop,j3
ObjectId(6284be12d4851a5591985472),laptop,kz
ObjectId(6284be12d4851a5591985473),laptop,k12
ObjectId(6284be12d4851a5591985474),laptop,kz
ObjectId(6284be12d4851a5591985475),laptop,zeta
ObjectId(6284be12d4851a5591985476),laptop,zeta
ObjectId(6284be12d4851a5591985477),laptop,zeta
ObjectId(6284be12d4851a5591985478),laptop,ay9
ObjectId(6284be12d4851a5591985479),laptop,k12
ObjectId(6284be12d4851a559198547a),laptop,jl3
ObjectId(6284be12d4851a559198547b),laptop,jl3
ObjectId(6284be12d4851a559198547c),laptop,j3
ObjectId(6284be12d4851a559198547d),laptop,qw2
ObjectId(6284be12d4851a559198547e),laptop,qw2
ObjectId(6284be12d4851a559198547f),laptop,jl3
ObjectId(6284be12d4851a5591985480),laptop,ki2
ObjectId(6284be12d4851a5591985481),laptop,k12
ObjectId(6284be12d4851a5591985482),laptop,j3
ObjectId(6284be12d4851a5591985483),laptop,kz
ObjectId(6284be12d4851a5591985484),laptop,j3
